
description,category
"body {\n    font-weight: bold;\n}\n\n/* CSS code for setting font weight */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Cloud Services!')",Python
"public class Car {\n    String make, model;\n    public void start() {\n        System.out.println('The car is starting.');\n    }\n}\n\n// Java class for starting a car",Java
"console.log(""Hello, Serverless!"");\n\n// JavaScript code to print 'Hello, Serverless!'",JavaScript
"echo 'Hello, Docker!';\n\n# This PHP code echoes 'Hello, Docker!'",PHP
"SELECT city_name, population FROM cities;\n\n-- SQL query to select 'city_name' and 'population' from 'cities' table",SQL
"var message = 'Hello, Heroku!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, Heroku!'",TypeScript
"func sayHello() {\n    print(""Hello, CloudFormation!"")\n}\n\n// Swift code to print 'Hello, CloudFormation!'",Swift
"<html>\n  <body>\n    <h1>Hello, CSS Animations!</h1>\n  </body>\n</html>\n\n<!-- HTML code for CSS animations -->",HTML
"puts 'Hello, DevOps!'\n\n# This Ruby code prints 'Hello, DevOps!'",Ruby
"import 'dart:io';\nvoid main() {\n    print('Hello, DevOps World!');\n}\n\n// Dart code to print 'Hello, DevOps World!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, DevOps Programming!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, DevOps Programming!'",C++
"body {\n    background-color: #f2f2f2;\n}\n\n/* CSS code for setting background color */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Continuous Integration!')",Python
"public class Dog {\n    String name;\n    public void bark() {\n        System.out.println('Woof! Woof!');\n    }\n}\n\n// Java class for a barking dog",Java
"console.log(""Hello, Jenkins!"");\n\n// JavaScript code to print 'Hello, Jenkins!'",JavaScript
"echo 'Hello, Travis CI!';\n\n# This PHP code echoes 'Hello, Travis CI!'",PHP
"SELECT product_name, quantity FROM inventory;\n\n-- SQL query to select 'product_name' and 'quantity' from 'inventory' table",SQL
"var message = 'Hello, CircleCI!';\nconsole.log(message);\n\n// TypeScript code to print 'Hello, CircleCI!'",TypeScript
"func sayHello() {\n    print(""Hello, CircleCI!"")\n}\n\n// Swift code to print 'Hello, CircleCI!'",Swift
"<html>\n  <body>\n    <h1>Hello, CSS Flexbox!</h1>\n  </body>\n</html>\n\n<!-- HTML code for CSS flexbox layout -->",HTML
"puts 'Hello, Virtual Reality!'\n\n# This Ruby code prints 'Hello, Virtual Reality!'",Ruby
"import 'dart:io';\nvoid main() {\n    print('Hello, Virtual Reality World!');\n}\n\n// Dart code to print 'Hello, Virtual Reality World!'",Dart
"// This is a comment in C++\n#include <iostream>\nusing namespace std;\nint main() {\n    cout << 'Hello, Virtual Reality Programming!' << endl;\n    return 0;\n}\n\n// C++ code to print 'Hello, Virtual Reality Programming!'",C++
"body {\n    line-height: 1.6;\n}\n\n/* CSS code for setting line height */",CSS
"import pandas as pd\n\n# This Python code imports pandas library\nprint('Hello, Augmented Reality!')",Python
"public class Cat {\n    String name;\n    public void meow() {\n        System.out.println('Meow!');\n    }\n}\n\n// Java class for a meowing cat",Java
"console.log(""Hello, Augmented Reality!"");\n\n// JavaScript code to print 'Hello, Augmented Reality!'",JavaScript
"echo 'Hello, Augmented Reality!';\n\n# This PHP code echoes 'Hello, Augmented Reality!'",PHP
"SELECT game_title, genre FROM games;\n\n-- SQL query to select 'game_title' and 'genre' from 'games' table",SQL
